Frame,Car_Count,Truck_Count,Bike_Count,Bus_Count,2_Wheeler_Count,3_Wheeler_Count,4_Wheeler_Count,6_Wheeler_Count,Other_Vehicles,Avg_Speed_kmh,Time_To_Cross_sec,Total_Vehicles,Total Vehicles,Vehicle Density,City
0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9230752907212292,0.0,14,0.6666666666666666,0.6666666666666666,Kakinada
1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6875638055794897,0.0005558643690939,14,0.0,0.0,Rajahmundry
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.157373127718259,0.0011117287381878,14,0.6666666666666666,0.6666666666666666,Vizag
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2296359044665701,0.0016675931072818,14,0.6666666666666666,0.6666666666666666,Bengaluru
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.4596101194199951,0.0022234574763757,14,0.6666666666666666,0.6666666666666666,Kakinada
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.65,0.6105169306251765,0.0027793218454697,14,0.6666666666666666,0.6666666666666666,Samalkot
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0464594052818216,0.0033351862145636,12,0.5714285714285714,0.5714285714285713,Vizag
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.2368843003864775,0.0038910505836575,12,0.5714285714285714,0.5714285714285713,Bengaluru
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.2653958905759583,0.0044469149527515,12,0.5714285714285714,0.5714285714285713,Samalkot
9,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.6000000000000001,0.2129983388494807,0.0050027793218454,13,0.6190476190476191,0.619047619047619,Vizag
10,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0714285714285714,0.6000000000000001,0.504673139461165,0.0055586436909394,13,0.5714285714285714,0.5714285714285713,Kakinada
11,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.6000000000000001,0.9705611574666492,0.0061145080600333,13,0.6190476190476191,0.619047619047619,Vizag
12,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0714285714285714,0.6000000000000001,0.7874507409074798,0.0066703724291272,13,0.5714285714285714,0.5714285714285713,Hyderabad
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.3322667076869199,0.0072262367982212,13,0.6190476190476191,0.619047619047619,Kakinada
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.7405161739168014,0.0077821011673151,13,0.6190476190476191,0.619047619047619,Bengaluru
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.5362060003551026,0.0083379655364091,13,0.6190476190476191,0.619047619047619,Rajahmundry
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0959356473632135,0.008893829905503,13,0.6190476190476191,0.619047619047619,Bengaluru
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.3769261455020642,0.0094496942745969,13,0.6190476190476191,0.619047619047619,Vijayawada
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.9013757708694072,0.0100055586436909,13,0.6190476190476191,0.619047619047619,Kakinada
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.8781850666499551,0.0105614230127848,13,0.6190476190476191,0.619047619047619,Vizag
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.6202527454495141,0.0111172873818788,13,0.6190476190476191,0.619047619047619,Rajahmundry
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.3442733480546325,0.0116731517509727,12,0.5714285714285714,0.5714285714285713,Rajahmundry
22,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.6000000000000001,0.2544728545745784,0.0122290161200667,13,0.6190476190476191,0.619047619047619,Bengaluru
23,0.0,0.0714285714285714,0.0,0.0714285714285714,0.0,0.0,0.0714285714285714,0.0714285714285714,0.6000000000000001,0.6725684022562357,0.0127848804891606,14,0.6190476190476191,0.619047619047619,Samalkot
24,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0714285714285714,0.65,0.4519190832677859,0.0133407448582545,14,0.6190476190476191,0.619047619047619,Rajahmundry
25,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.7000000000000001,0.2077612070987935,0.0138966092273485,15,0.7142857142857142,0.7142857142857142,Samalkot
26,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0714285714285714,0.7000000000000001,0.9511791431027156,0.0144524735964424,15,0.6666666666666666,0.6666666666666666,Kakinada
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.7695952089910543,0.0150083379655364,15,0.7142857142857142,0.7142857142857142,Kakinada
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.9709180425216776,0.0155642023346303,14,0.6666666666666666,0.6666666666666666,Rajahmundry
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2978188268676109,0.0161200667037242,14,0.6666666666666666,0.6666666666666666,Rajahmundry
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.1130658507013275,0.0166759310728182,14,0.6666666666666666,0.6666666666666666,Vizag
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.700049846117538,0.0172317954419121,14,0.6666666666666666,0.6666666666666666,Vijayawada
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.9604742163297136,0.0177876598110061,14,0.6666666666666666,0.6666666666666666,Vijayawada
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.4398993392969552,0.0183435241801,14,0.6666666666666666,0.6666666666666666,Kakinada
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.4148869804395059,0.0188993885491939,13,0.6190476190476191,0.619047619047619,Vizag
35,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.65,0.0463339168462382,0.0194552529182879,14,0.6666666666666666,0.6666666666666666,Kakinada
36,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0714285714285714,0.6000000000000001,0.4850275331034424,0.0200111172873818,13,0.5714285714285714,0.5714285714285713,Bengaluru
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.9171621127478108,0.0205669816564758,13,0.6190476190476191,0.619047619047619,Hyderabad
38,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.65,0.9587972382583512,0.0211228460255697,14,0.6666666666666666,0.6666666666666666,Rajahmundry
39,0.0,0.0714285714285714,0.0,0.0714285714285714,0.0,0.0,0.0714285714285714,0.0714285714285714,0.65,0.6843446119192567,0.0216787103946637,15,0.6666666666666666,0.6666666666666666,Kakinada
40,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0714285714285714,0.7000000000000001,0.7168877764440895,0.0222345747637576,15,0.6666666666666666,0.6666666666666666,Rajahmundry
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.4430409897934351,0.0227904391328515,14,0.6666666666666666,0.6666666666666666,Kakinada
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.1904171563377055,0.0233463035019455,14,0.6666666666666666,0.6666666666666666,Hyderabad
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.9286510950502822,0.0239021678710394,14,0.6666666666666666,0.6666666666666666,Hyderabad
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.1886238776463953,0.0244580322401334,14,0.6666666666666666,0.6666666666666666,Samalkot
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.5801355328408857,0.0250138966092273,14,0.6666666666666666,0.6666666666666666,Samalkot
